Filename,Eads,NPd,Charge,RealSite
pd1-ceria-co-CONTCAR,-2.4,1,0.54,top
pd10-ceria-a1.CONTCAR,-1.71,10,0,hollow
pd10-ceria-a2.CONTCAR,-2.25,10,0.085,bridge
pd10-ceria-a3.CONTCAR,-1.92,10,-0.0085,top
pd10-ceria-co-CONTCAR,-2.31,10,0.17,hollow
pd11-ceria-co-CONTCAR,-2.29,11,0.12,hollow
pd12-ceria-a1.CONTCAR,-2.25,12,-0.02,bridge
pd12-ceria-a2.CONTCAR,-2.44,12,0.032,bridge
pd12-ceria-co-CONTCAR,-2.43,12,0.1,hollow
pd13-ceria-a1.CONTCAR,-2.26,13,-0.0036,bridge
pd13-ceria-a2.CONTCAR,-1.29,13,0.12,top
pd13-ceria-co-CONTCAR,-2.38,13,0.093,hollow
pd14-ceria-a1.CONTCAR,-2.19,14,-0.02,bridge
pd14-ceria-a2.CONTCAR,-1.39,14,0.18,top
pd14-ceria-co-CONTCAR,-2.31,14,0.123,hollow
pd15-ceria-a1.CONTCAR,-2.4,15,-0.027,bridge
pd15-ceria-a2.CONTCAR,-2.36,15,0.07,bridge
pd15-ceria-co-CONTCAR,-2.25,15,0.116,hollow
pd16-ceria-a1.CONTCAR,-2.4,16,-0.015,bridge
pd16-ceria-a2.CONTCAR,-2.24,16,0.085,bridge
pd16-ceria-co-CONTCAR,-2.29,16,0.123,hollow
pd17-ceria-a1.CONTCAR,-2.44,17,-0.01,bridge
pd17-ceria-a2.CONTCAR,-1.52,17,0.18,top
pd17-ceria-co-CONTCAR,-2.33,17,0.12,hollow
pd18-ceria-co-CONTCAR,-2.33,18,0.113,hollow
pd19-ceria-co-CONTCAR,-2.08,19,0.116,hollow
pd2-ceria-a1.CONTCAR,-2.67,2,0.31,top
pd2-ceria-co-CONTCAR,-2.98,2,0.39,bridge
pd20-ceria-co-CONTCAR,-2,20,0.113,hollow
pd20-ceria-im6-CO-CONTCAR,-1.63,20,0,top
pd20-ceria-im6-CO-nd-CONTCAR,-1.55,20,0,bridge
pd20-ceria-im6-CO-rd-CONTCAR,-1.7,20,0,hollow
pd3-ceria-a1.CONTCAR,-2.94,3,0.28,hollow
pd3-ceria-a2.CONTCAR,-2.64,3,0.38,top
pd3-ceria-co-CONTCAR,-3.06,3,0.23,bridge
pd4-ceria-a1.CONTCAR,-2.33,4,0.085,bridge
pd4-ceria-a2.CONTCAR,-2.57,4,0.157,hollow
pd4-ceria-a3.CONTCAR,-1.81,4,0.23,top
pd4-ceria-a4.CONTCAR,-1.56,4,-0.06,top
pd4-ceria-co-CONTCAR,-2.58,4,0.17,hollow
pd5-ceria-a1.CONTCAR,-2.26,5,0.073,hollow
pd5-ceria-a2.CONTCAR,-2.18,5,0.16,bridge
pd5-ceria-a4.CONTCAR,-1.58,5,0.13,top
pd5-ceria-a5.CONTCAR,-1.27,5,-0.13,top
pd5-ceria-a6.CONTCAR,-2.51,5,0.047,hollow
pd5-ceria-co-CONTCAR,-2.26,5,0.06,hollow
pd6-ceria-a1.CONTCAR,-2.27,6,0.105,bridge
pd6-ceria-a2.CONTCAR,-2.21,6,0.15,hollow
pd6-ceria-a3.CONTCAR,-2.39,6,0.2,bridge
pd6-ceria-a4.CONTCAR,-1.47,6,0.26,top
pd6-ceria-a5.CONTCAR,-2.33,6,0.215,bridge
pd6-ceria-a6.CONTCAR,-1.5,6,-0.054,top
pd6-ceria-co-CONTCAR,-2.28,6,0.16,hollow
pd7-ceria-a1.CONTCAR,-1.82,7,-0.01,bridge
pd7-ceria-a2.CONTCAR,-2.23,7,0.143,hollow
pd7-ceria-a3.CONTCAR,-1.82,7,0.235,bridge
pd7-ceria-a4.CONTCAR,-2.22,7,0.08,bridge
pd7-ceria-a5.CONTCAR,-1.8,7,-0.01,top
pd7-ceria-a6.CONTCAR,-2.2,7,0.08,bridge
pd7-ceria-a7.CONTCAR,-1.24,7,0.23,top
pd7-ceria-co-CONTCAR,-2.2,7,0.14,hollow
pd8-ceria-co-CONTCAR,-2.36,8,0.1,bridge
pd9-ceria-a1.CONTCAR,-1.85,9,-0.005,bridge
pd9-ceria-a2.CONTCAR,-2.3,9,0.16,hollow
pd9-ceria-a3.CONTCAR,-2.38,9,0.105,bridge
pd9-ceria-a4.CONTCAR,-1.82,9,0.067,hollow
pd9-ceria-a5.CONTCAR,-1.82,9,-0.0105,top
pd9-ceria-co-CONTCAR,-2.03,9,0.16,hollow
pd5-ceria-2d.CONTCAR,-3.03,5,0.31,bridge
